Name, Price
GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS W-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,€ 796.99
GIGABYTE GeForce GTX 1660 GAMING OC 6G Graphics Card| 3 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660GAMING OC-6GD Video Card,€ 227.99
GIGABYTE AORUS GeForce RTX 2080 Ti DirectX 12 GV-N208TAORUS-11GC 11GB 352-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,€1.213.99
EVGA GeForce RTX 2060 XC ULTRA GAMING| 6GB GDDR6| Dual HDB Fans Graphics Card 06G-P4-2167-KR,€376.99 (3 Offers)
EVGA GeForce RTX 2080 FTW3 ULTRA HYBRID GAMING| 08G-P4-2284-KR| 8GB GDDR6| RGB LED & iCX2 Technology,€727.99 (2 Offers)
MSI GeForce GTX 1060 DirectX 12 GTX 1060 6GT OCV1 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,€ 396.21
GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N207SWF3OC-8GD Video Card,€474.99 (3 Offers)
EVGA GeForce GTX 1060 DirectX 12 06G-P4-6262-KR 6GB 192-Bit GDDR5 PCI Express 3.0 Video Card,€ 372.80
EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED,€1.414.99 (3 Offers)
GIGABYTE GeForce GTX 1070 Ti DirectX 12 GV-N107TWF2-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support ATX Video Card,€ 682.57
GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,€148.57 (2 Offers)
EVGA GeForce RTX 2080 BLACK EDITION GAMING| 08G-P4-2081-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,€698.39 (2 Offers)
EVGA GeForce RTX 2080 TI FTW3 ULTRA HYBRID GAMING| 11G-P4-2484-KR| 11GB GDDR6| RGB LED & iCX2 Technology - 9 Thermal Sensors,€1.422.99 (2 Offers)
GIGABYTE AORUS Radeon RX 580 DirectX 12 GV-RX580AORUS-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,€ 444.84
ASUS GeForce RTX 2080 SUPER Overclocked 8G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort 1.4 Graphics Card (DUAL-RTX2080S-O8G-EVO),€698.08 (2 Offers)
MSI GeForce RTX 2070 DirectX 12 RTX 2070 GAMING 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,€475.34 (2 Offers)
ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT 8G 8GB 256-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,€ 379.99
EVGA GeForce RTX 2080 XC HYBRID GAMING Video Card| 08G-P4-2184-KR| 8GB GDDR6| HYBRID & RGB LED Logo,€655.99 (3 Offers)
MSI GeForce RTX 2070 DirectX 12 RTX 2070 DUKE 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,€ 510.73
ASRock Phantom Gaming X Radeon VII DirectX 12 Radeon VII 16G 16GB 4096-Bit HBM2 PCI Express 3.0 x16 HDCP Ready Video Card,€ 663.99
ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G 8GB 2048-Bit HBM2 PCI Express 3.0 x16 HDCP Ready Video Card,€ 285.99
EVGA GeForce GTX 1660 Ti XC Black GAMING| 06G-P4-1261-KR| 6GB GDDR6| HDB Fan,€271.99 (3 Offers)
MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,€367.99 (3 Offers)
EVGA GeForce GTX 1660 Ti XC Ultra GAMING| 06G-P4-1267-KR| 6GB GDDR6| HDB Fan,€310.99 (3 Offers)
XFX Radeon RX 5700 DirectX 12 RX-57XL8MFG6 8GB 256-Bit GDDR6 PCI Express 4.0 Video Card,€343.24 (2 Offers)
